职位,薪资,学历,工作经验,需要几人,工作地址,公司,公司类型,公司规模,公司行业,福利,职位描述,职位要求,职位链接
Python后端工程师,1-1.5万/月,['本科'],无要求,['招1人'],菲尼克斯路99号,南京四象新能源科技有限公司,民营公司,少于50人,新能源,五险一金||补充医疗保险||员工旅游||餐饮补贴||专业培训||出国机会||股票期权||弹性工作||定期体检,"负责公司数据相关后台服务开发、运维，为公司硬件产品的数据采集、呈现提供有力支撑。应聘者需要拥有一定的Web开发和数据库优化经验，成熟的代码撰写和管理风格，以及良好的沟通能力。能独立并高质量完成安排任务。善于独立思考并表达自身观点。
1、公司数据后台服务开发工作；
2、公司服务部署&运维工作；
3、参与新功能&项目的相关技术讨论；
4、撰写相关技术文档。
1、985/211大学计算机科学或工程专业，本科以上学历；","负责公司数据相关后台服务开发、运维，为公司硬件产品的数据采集、呈现提供有力支撑。应聘者需要拥有一定的Web开发和数据库优化经验，成熟的代码撰写和管理风格，以及良好的沟通能力。能独立并高质量完成安排任务。善于独立思考并表达自身观点。
1、公司数据后台服务开发工作；
2、公司服务部署&运维工作；
3、参与新功能&项目的相关技术讨论；
4、撰写相关技术文档。
1、985/211大学计算机科学或工程专业，本科以上学历；",https://jobs.51job.com/nanjing-jnq/105939029.html?s=01&t=0
Python工程师,6-8千/月,"['在校生/应届生', '大专']",无要求,['招5人'],南京,上海占域实业有限公司,合资,150-500人,"计算机软件,电子技术/半导体/集成电路",五险一金||员工旅游||绩效奖金||年终奖金||定期体检||出国机会,"岗位职责:
1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;
2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;
3.处理服务端开发中的常见问题;","岗位职责:
1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;
2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;
3.处理服务端开发中的常见问题;",https://jobs.51job.com/nanjing/118868782.html?s=01&t=0
数据挖掘分析师（python方向）,1-2万/月,"['在校生/应届生', '本科']",无要求,无要求,天安数码城,南京莱斯网信技术研究院,国企,150-500人,计算机软件,五险一金||年终奖金||定期体检||员工旅游||节日福利||零食下午茶||免费午餐||项目奖||销售奖||年底双薪,,,https://jobs.51job.com/nanjing-qhq/120719755.html?s=01&t=0
Python数据分析课程老师,1-1.5万/月,['硕士'],无要求,['招1人'],中山南路49号商贸世纪广场17楼B2B3,美英港新留学,创业公司,50-150人,"教育/培训/院校,学术/科研",五险一金||员工旅游||周末双休||定期体检||带薪年假||年终奖金||生日福利,"1.参与PBL(Problem-BasedLearning)教学方案设计，以数据分析项目为主轴，线上教授学生相关知识点，及指导学生进行项目操作；
2.进行数据分析项目的统筹规划，准备金融/市场营销/商业分析/传媒/教育等方向的数据分析项目，完成数据准备.场景设计.参考解答准备等环节；","1.参与PBL(Problem-BasedLearning)教学方案设计，以数据分析项目为主轴，线上教授学生相关知识点，及指导学生进行项目操作；
2.进行数据分析项目的统筹规划，准备金融/市场营销/商业分析/传媒/教育等方向的数据分析项目，完成数据准备.场景设计.参考解答准备等环节；",https://jobs.51job.com/nanjing-qhq/119153712.html?s=01&t=0
Python开发工程师,0.8-1万/月,"['在校生/应届生', '本科']",无要求,['招2人'],创研路266号麒麟人工智能产业园7栋9楼,南京控维通信科技有限公司,民营公司,少于50人,通信/电信/网络设备,五险一金||员工旅游||定期体检||通讯补贴||交通补贴||餐饮补贴||年终奖金,"岗位职责：
1、主要从事计算机和通信系统相关软件开发工作；
2、主要领域为后台服务软件开发；
3、负责部分软件模块/子系统的设计、开发、测试全过程；
4、相关技术文档编写。
","：
1、有一定软件开发经验，具有良好的编程习惯，能编写正确、健壮的代码；
2、能独立完成小规模软件（或模块）的设计、编码、测试的全过程；
3、熟悉Python编程语言，掌握基础数据结构和算法；
4、较强的英文技术文档阅读能力；
5、具有在新领域快速学习的能力。
有下列相关经验者优先考虑：",https://jobs.51job.com/nanjing-jnq/120702192.html?s=01&t=0
Python开发工程师（南京）,0.8-1万/月,['本科'],无要求,['招2人'],,深圳航天科创实业有限公司,国企,,航天/航空,,,,https://jobs.51job.com/nanjing/121597465.html?s=01&t=0
Python开发工程师,1-1.5万/月,['本科'],['1年经验'],['招2人'],白龙江东街22号艺数家工场,融奕数智科技（深圳）有限公司,外资（欧美）,少于50人,"计算机软件,金融/投资/证券",五险一金||交通补贴||餐饮补贴||通讯补贴||绩效奖金||年终奖金||股票期权||弹性工作||员工旅游||出国机会,,,https://jobs.51job.com/nanjing-jyq/105941551.html?s=01&t=0
驻场Python开发工程师,6-8千/月,['大专'],['1年经验'],['招5人'],南京市玄武区龙蟠路151号,南京慧立信息系统有限公司,民营公司,50-150人,"计算机服务(系统、数据服务、维修),计算机软件",五险一金||绩效奖金||年终奖金,,,https://jobs.51job.com/nanjing-xwq/120521541.html?s=01&t=0
Python开发工程师,6-8千/月,['本科'],['1年经验'],['招5人'],建邺区江东中路395号,赞同科技股份有限公司,民营公司,1000-5000人,"计算机软件,计算机服务(系统、数据服务、维修)",五险一金||补充公积金||餐饮补贴||专业培训||定期体检,"【岗位职责】
1、服从项目经理分配并负责银行软件项目开发；
2、能与项目组成员、业务测试人员进行有效沟通；
【","】
1、本科以上学历，计算机及相关专业毕业；",https://jobs.51job.com/nanjing/121122429.html?s=01&t=0
Python高级开发工程师,1.5-2万/月,无要求,无要求,['招5人'],玄武大道699号江苏软件园22号22幢,南京云思创智信息科技有限公司,民营公司,50-150人,计算机软件,五险一金||员工旅游||交通补贴||出国机会||绩效奖金||年终奖金||股票期权||弹性工作||周末双休||通讯补贴,"人工智能,股票激励,大牛团队,发展空间大
-精通Python语言，熟悉Django/Tornado/Flask等其中至少一种框架，并有2年以上开发经验；
-精通分布式、多线程、异步及高性能设计、开发及优化；
-熟练使用MySQL、Redis、MongoDB、RabbitMQ等第三方组件；
-熟悉Linux系统，具备编写shell脚本能力；
-熟悉Git, GitHub开发流程；
-熟悉大规模高并发访问的Web应用开发经验者优先；
-有自主学习能力，良好中美团队沟通能力；","人工智能,股票激励,大牛团队,发展空间大
-精通Python语言，熟悉Django/Tornado/Flask等其中至少一种框架，并有2年以上开发经验；
-精通分布式、多线程、异步及高性能设计、开发及优化；
-熟练使用MySQL、Redis、MongoDB、RabbitMQ等第三方组件；
-熟悉Linux系统，具备编写shell脚本能力；
-熟悉Git, GitHub开发流程；
-熟悉大规模高并发访问的Web应用开发经验者优先；
-有自主学习能力，良好中美团队沟通能力；",https://jobs.51job.com/nanjing-xwq/103410336.html?s=01&t=0
